Id,Area,COUNT,MIN,MAX,RANGE,MEAN,STD,SUM,volume,mean_depth,cat_area,dep2catR,Downstream,simu_depth,rain_inten,time_inund,rank,Shape_Leng,Shape_Area,Perimeter,Max_depth,depth_inde,MinBdAr,depConcav,LenLonAx,MBG_Width,MBG_Length,MBG_Orient,Circular,Compact,Elong
189,1973.00000041,1973,2338.7409668,2339.07788086,0.3369140625,2339.00567822,0.07345222914,4614858.20313,142.456,0.0722027,73701,0.0267703,165,0.00193289,0.05,0.0386578,173,438,1973,438,0.336914,0.023829,9566.23378687,-0.27775,110.364,32.068139563,109.865114974,62.0205256116,0.129238,0.206246,3.42599
197,220.000000045,220,2336.51342773,2336.87573242,0.3623046875,2336.78358043,0.05540989073,514092.387695,20.2734,0.0921518,115060,0.00191205,240,0.000176199,0.05,0.00352398,41,134,220,134,0.362305,0.0767384,1388.81145416,-3.88182,42.051,16.8960234894,41.1909592263,6.34019174583,0.153965,0.158409,2.43791
198,242.00000005,242,2327.84008789,2328.48071289,0.640625,2328.13914805,0.1798421428,563409.673828,82.6587,0.341565,313716,0.000771398,240,0.000263483,0.05,0.00526966,53,114,242,114,0.640625,0.129374,1197.25125359,-6.68595,39.0434,10.5135690956,38.9663749709,126.027373385,0.234,0.20213,3.70629
205,2303.00000048,2303,2335.37353516,2336.07373047,0.7001953125,2335.89396357,0.13375709898,5379563.7981,414.003,0.179767,35365,0.0651209,240,0.0117066,0.05,0.234132,333,294,2303,294,0.700195,0.0458376,4554.26526037,-0.314807,76.149,47.3314142375,74.2436804555,19.9831065219,0.334818,0.50568,1.56859
207,397.000000086,397,2314.57421875,2315.21386719,0.6396484375,2314.89682384,0.20276917885,919014.039062,125.866,0.317043,1263,0.314331,193,0.0996564,0.05,1.99313,508,102,397,102,0.639648,0.100855,589.577570996,-3.40554,27.3984,22.38859661,26.9098947086,60.6422464576,0.479513,0.673363,1.20195
208,391.000000081,391,2261.44213867,2263.30322266,1.86108398438,2262.51624815,0.57662970715,884643.853027,307.707,0.786974,7776,0.0502829,115,0.0395714,0.05,0.791428,445,96,391,96,1.86108,0.295683,710.499924263,-4.65217,30.0772,18.5436761329,30.0819635049,74.0546040987,0.533144,0.550317,1.62222
210,379.000000078,379,2304.68994141,2305.46875,0.77880859375,2304.98712625,0.185392757,873590.12085,182.535,0.481623,1660,0.228313,193,0.109961,0.05,2.19922,514,122,379,122,0.778809,0.125679,987.634148863,-6.9657,35.4612,18.4672576189,35.1100391838,122.275644315,0.319985,0.383745,1.9012
213,412.000000085,412,2337.45678711,2337.96899414,0.51220703125,2337.68079324,0.13521403566,963124.486816,118.739,0.288201,4101,0.100463,401,0.0289537,0.05,0.579074,423,100,412,100,0.512207,0.0792769,586.672848922,-2.14078,27.3308,22.5858588305,23.4637544034,151.389540334,0.517734,0.702265,1.03887
221,458.000000092,458,2327.83178711,2328.19189453,0.36010742188,2328.09685027,0.05255709978,1066268.35742,43.5303,0.0950443,81143,0.00564436,232,0.000536464,0.05,0.0107293,84,212,458,212,0.360107,0.0528626,2041.21525202,-2.24454,50.98,19.091883092,50.9116882454,135,0.128057,0.224376,2.66667
222,317.000000062,317,2295.14648438,2296.36523438,1.21875,2295.84330562,0.30011843639,727782.327881,165.451,0.521927,54495,0.00581705,199,0.00303608,0.05,0.0607216,212,90,317,90,1.21875,0.215048,695.748218652,-5.05363,29.7633,19.2093727123,29.360667235,51.3401917461,0.491795,0.455625,1.52846
